Invoice,StockCode,Quantity
489434,85048,12
489434,79323P,12
489434,79323W,12
489434,22041,48
489434,21232,24
489434,22064,24
489434,21871,24
489434,21523,10
489435,22350,12
489435,22349,12
489435,22195,24
489435,22353,12
489436,48173C,10
489436,21755,18
489436,21754,3
489436,84879,16
489436,22119,3
489436,22142,12
489436,22296,12
489436,22295,12
489436,22109,16
489436,22107,4
489436,22194,2
489436,35004B,12
489436,82582,12
489436,21181,12
489436,21756,3
489436,21333,6
489436,84596F,8
489436,84596L,8
489436,22111,24
489437,22143,6
489437,22145,6
489437,22130,12
489437,21364,2
489437,21360,1
489437,21351,2
489437,21352,2
489437,35400,2
489437,20695,3
489437,37370,12
489437,10002,12
489437,84507B,6
489437,20703,3
489437,21987,12
489437,21989,12
489437,84970S,12
489437,20971,12
489437,22271,6
489437,22272,6
489437,22274,6
489437,21912,4
489437,22111,3
489437,22112,3
489438,21329,28
489438,21252,30
489438,21100,30
489438,21033,30
489438,20711,60
489438,21410,32
489438,21411,32
489438,84031A,56
489438,84031B,56
489438,84032A,60
489438,84032B,56
489438,84519A,56
489438,84519B,60
489438,85132A,60
489438,85132C,60
489438,85183A,60
489438,85183B,60
489439,22065,12
489439,22138,9
489439,22139,9
489439,22352,12
489439,85014A,3
489439,85014B,3
489439,16161P,25
489439,16169N,25
489439,21491,6
489439,22333,8
489439,85216,12
489439,21493,12
489439,22130,24
489439,22064,12
489439,21731,24
489439,85232B,6
489439,84691,12
489439,20749,2
489439,POST,3
489440,22350,8
489440,22349,8
489441,22321,12
489441,22138,6
489441,84029E,36
489441,22111,48
489442,21955,2
489442,22111,3
489442,22296,12
489442,84899E,12
489442,22271,6
489442,22272,6
489442,85123A,6
489442,21582,20
489442,21586,12
489442,21590,48
489442,22091,12
489442,84251J,12
489442,22024,12
489442,22026,12
489442,22029,12
489442,22025,12
489442,22031,12
489442,21428,4
489442,21430,4
489442,21916,24
489442,21790,12
489442,21888,8
489442,85178,12
489443,20754,6
489443,21035,12
489443,22041,48
489443,82001S,24
489443,82580,12
489443,85150,12
489443,21041,6
489444,POST,1
489445,35916C,12
489445,35916B,12
489445,22321,24
489445,22130,12
489445,22180,2
489445,22128,12
489445,22163,6
489445,35951,48
489445,22253,12
489445,84988,12
489445,22219,24
489445,18097C,6
489445,22138,3
489445,21299,1
489445,21099,24
489445,21085,24
489445,21929,10
489445,22241,24
489445,21091,12
489446,21733,32
489446,85123A,32
489446,22178,12
489446,22125,12
489446,21671,12
489446,22086,12
489446,22111,6
489446,22112,12
489446,22294,24
489446,22199,4
489446,22083,24
489446,22114,12
489446,21485,12
489446,21928,10
489446,21929,10
489446,85099B,20
489446,22356,10
489446,20724,10
489446,21590,24
489446,21592,24
489446,20725,10
489446,20728,10
489446,20726,10
489446,20754,12
489446,21217,12
489446,22195,12
489446,85066,2
489447,POST,1
489448,20827,48
489448,20825,48
489448,20823,48
489448,20826,48
489450,22087,12
489450,85206A,6
489450,21895,4
489450,21896,6
489450,22083,12
489450,21871,12
489450,84946,12
489450,84970S,24
489450,22090,12
489460,79323P,8
489460,21977,24
489460,84991,24
489460,22274,6
489460,22273,6
489460,22179,4
489460,22320,3
489460,22232,8
489460,84598,576
489460,79323W,8
489460,22138,3
489460,22139,3
489460,79323S,4
489460,21731,12
489460,84568,288
489461,21668,24
489461,21669,24
489461,21670,24
489461,21671,24
489461,21672,24
489461,21673,24
489461,22125,3
489461,21232,48
489461,85071A,6
489461,85071B,6
489461,21161,12
489461,21162,12
489461,21248,12
489461,21159,12
489461,82582,12
489461,21181,6
489461,85150,6
489461,82494L,6
489461,82486,2
489461,82483,3
489462,90200D,3
489462,90200E,3
489461,21212,24
489461,84991,24
489461,22180,2
489461,72756,27
489461,22063,6
489461,37450,6
489462,90200A,3
489462,90200C,3
489462,90200B,3
489462,90185C,3
489462,90185B,3
489462,90003C,3
489462,90003D,3
489462,90003B,3
489462,90209C,3
489462,90209A,3
489462,90082D,2
489465,21707,12
489465,21710,12
489465,21708,12
489465,21706,12
489465,21711,12
489465,20747,4
489465,22125,12
489465,85123A,64
489465,21733,20
489465,20752,8
489465,20753,8
489465,20754,8
489465,20751,12
489465,48185,4
489465,22114,12
489465,21481,8
489465,85042,24
489465,72760B,4
489465,84879,160
489488,84031B,1
489488,84032A,1
489488,84032B,1
489488,22125,2
489488,21482,2
489488,21484,3
489488,20967,1
489488,20970,2
489488,21100,2
489488,84582,2
489488,20972,3
489488,20971,1
489488,84327A,2
489488,22125,1
489488,21490,3
489488,21063,4
489488,21058,3
489488,22086,5
489488,84997D,4
489488,84997C,4
489488,22301,2
489488,22300,3
489488,21493,6
489488,21231,4
489488,20870,6
489488,90121B,4
489488,90175A,2
489488,90195B,2
489488,90062,2
489488,21930,2
489505,21472,6
489505,85099B,10
489505,48185,10
489505,47566B,5
489505,21929,10
489505,22139,6
489505,22086,6
489505,22275,4
489505,22138,3
489505,21479,4
489514,21791,72
489514,84032A,36
489514,85042,24
489514,71477,24
489514,37449,8
489514,37446,32
489514,21955,10
489514,21258,8
489514,20892,8
489514,47591D,50
489514,21867,1
489514,21041,5
489514,82551,2
489514,82567,1
489514,21161,3
489514,82613D,2
489514,21179,2
489514,21865,3
489514,72783,2
489514,20719,3
489514,21869,2
489514,21876,2
489514,20754,3
489514,84849B,2
489514,21864,5
489514,21470,2
489514,20897,2
489514,44230,1
489514,37485,2
489514,84997A,3
489514,21245,3
489514,21241,3
489517,21705,1
489517,21913,1
489517,21912,1
